title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
The King's Speech (PG-13),N/A,N/A,"$3,746,800",Weinstein Company,"April 1, 2011",Historical Drama,1 hrs. 58 min.,PG-13,N/A,"$138,797,449",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Kingdom (1995),N/A,N/A,"$173,100",October,"November 3, 1995",Unknown,4 hrs. 32 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kings (2018),N/A,N/A,"$264,400",The Orchard,"April 27, 2018",Crime Drama,1 hrs. 37 min.,R,N/A,N/A,Daniel Craig,Halle Berry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kings Faith,N/A,N/A,"$97,700",Waking Giants,"April 26, 2013",Drama,1 hrs. 47 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kingsglaive: Final Fantasy: XV,N/A,N/A,"$286,500",Vertical Entertainment,"August 19, 2016",Animation,1 hrs. 50 min.,PG-13,N/A,"$269,980",Sean Bean,Lena Headey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kinjite,N/A,N/A,"$7,771,800",Cannon Films,"February 3, 1989",Unknown,1 hrs. 38 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kirk Cameron REVIVE US 2,N/A,N/A,"$706,900",Fathom,"October 24, 2017",Documentary,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kirk Cameron's Saving Christmas,N/A,N/A,"$3,028,800",Samuel Goldwyn,"November 14, 2014",Family,1 hrs. 20 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kirk Cameron: Connect,N/A,N/A,"$905,100",Fathom,"February 27, 2018",Documentary,1 hrs. 10 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kisna,N/A,N/A,"$207,100",Eros,"January 21, 2005",Foreign,2 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Kiss Kiss, Bang Bang",Shane Black,N/A,"$5,976,900",Warner Bros.,"October 21, 2005",Action Comedy,1 hrs. 42 min.,R,$15 million,"$15,785,148","Robert Downey, Jr.",Val Kilmer,Michelle Monaghan,N/A,N/A,N/A,Susan Downey,Joel Silver,N/A,N/A,N/A,N/A,Shane Black,N/A,John Ottman,N/A
Kiss Me Guido,N/A,N/A,"$3,774,300",Paramount,"July 18, 1997",Comedy,1 hrs. 28 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Kitchen Toto,N/A,N/A,"$223,700",Cannon Films,"May 13, 1988",Unknown,1 hrs. 35 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kites: The Remix,N/A,N/A,"$47,500",Reliance Big Pictures,"May 28, 2010",Romance,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knight &amp; Day,James Mangold,N/A,"$89,322,300",Fox,"June 23, 2010",Comedy,2 hrs. 10 min.,PG-13,$117 million,"$261,930,436",Gal Gadot,Tom Cruise,Cameron Diaz,Peter Sarsgaard,Paul Dano,Viola Davis,Todd Garner,Arnon Milchan,Steve Pink,Joe Roth,N/A,N/A,N/A,N/A,John Powell,N/A
The Komediant,N/A,N/A,"$181,900",New Yorker,"April 5, 2002",Unknown,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Korengal,N/A,N/A,"$112,000",Saboteur Media,"May 30, 2014",Documentary,1 hrs. 25 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Korhram,N/A,N/A,"$124,900",Vid.,"August 3, 1999",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Korkoro,N/A,N/A,"$9,300",Lorber Films,"March 25, 2011",Foreign,1 hrs. 51 min.,Unrated,N/A,"$627,088",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kubo and the Two Strings,Travis Knight,N/A,"$50,898,400",Focus Features,"August 19, 2016",Animation,1 hrs. 41 min.,PG,$60 million,"$69,929,545",Matthew McConaughey,Charlize Theron,Rooney Mara,Ralph Fiennes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dario Marianelli,N/A
Kumare,N/A,N/A,"$151,700",Kino Lorber,"June 20, 2012",Documentary,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kung Pow! Enter the Fist,Steve Oedekerk,N/A,"$24,926,500",Fox,"January 25, 2002",Action Comedy,1 hrs. 21 min.,PG-13,$10 million,"$16,994,625",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Steve Oedekerk,N/A,N/A,N/A
Kurosawa &amp; Mifune Festival,N/A,N/A,"$895,900",Cowboy,"July 26, 2002",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kurt and Courtney,N/A,N/A,"$1,286,600",Roxie,"February 27, 1998",Documentary,1 hrs. 35 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kurt Cobain About a Son,N/A,N/A,"$113,500",Balcony Releasing,"October 3, 2007",Documentary,1 hrs. 36 min.,Unrated,N/A,"$106,724",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyon? Ho Gaya Pyu,N/A,N/A,"$489,900",Eros,"August 13, 2004",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Age d'Or (Re-issue),N/A,N/A,"$47,600",Kino,"January 30, 2004",Foreign,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Age des Tenebres,N/A,N/A,"$1,910,600",Alliance,"December 7, 2007",Foreign,N/A,Unrated,N/A,"$3,414,681",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'attesa,N/A,N/A,"$57,800",Oscilloscope Pictures,"April 29, 2016",Drama,1 hrs. 50 min.,Unrated,N/A,"$55,804",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Auberge Espagnole,N/A,N/A,"$4,238,500",Fox Searchlight,"May 16, 2003",Foreign,2 hrs. 2 min.,R,N/A,"$31,024,110",Cecile de France,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Auberge Espagnole (Canada),N/A,N/A,"$1,598,500",Chris.,"March 21, 2003",Foreign,2 hrs. 2 min.,R,N/A,"$3,897,799",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"L'Chayim, Comrade Stalin!",N/A,N/A,"$14,100",Cinema Guild,"January 31, 2003",Unknown,1 hrs. 33 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Enfant (The Child),N/A,N/A,"$898,800",Sony Classics,"March 24, 2006",Foreign,1 hrs. 40 min.,R,N/A,"$5,507,396",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Etoile du Nord,N/A,N/A,"$2,239,300",MGM,1983,Unknown,2 hrs. 4 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Iceberg,N/A,N/A,"$26,000",First Run,"May 4, 2007",Foreign,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'important C'est D'aimer (2017 Re-Release),N/A,N/A,"$19,300",Rialto,"July 14, 2017",Drama,1 hrs. 49 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Incomparable Mademoiselle C.,N/A,N/A,"$718,200",Christal Films,"April 23, 2004",Unknown,1 hrs. 42 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L'Odyssee d'Alice Tremblay,N/A,N/A,"$2,696,400",Alliance,"June 28, 2002",Foreign,1 hrs. 42 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L.O.C. (Kargil),N/A,N/A,"$908,900",Eros,"December 25, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Belle Noiseuse (re-issue),N/A,N/A,"$3,500",Cohen Media Group,"November 24, 2017",Drama,3 hrs. 58 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Buche,N/A,N/A,"$392,700",Empire,"September 29, 2000",Unknown,1 hrs. 44 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Cage aux Folles 2,N/A,N/A,"$22,575,400",MGM,"February 15, 1981",Foreign,1 hrs. 40 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ennio Morricone,N/A
La Cage aux Folles 3,N/A,N/A,"$840,400",TriStar,"February 14, 1986",Foreign,1 hrs. 27 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ennio Morricone,N/A
La Camioneta,N/A,N/A,"$20,300",Follow Your Nose Films,"May 31, 2013",Documentary,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Ceremonie,N/A,N/A,"$1,783,900",New Yorker,"December 20, 1996",Foreign,1 hrs. 51 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Chinoise (2017 re-release),N/A,N/A,"$5,700",Kino Lorber,"July 21, 2017",Foreign,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Chinoise (re-issue),N/A,N/A,"$40,500",Koch Lorber Films,"October 10, 2007",Foreign,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Commune (Paris 1871),N/A,N/A,"$8,000",First Run,"July 3, 2003",Unknown,5 hrs. 45 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Danse: Le Ballet de L'Opera de Paris,N/A,N/A,"$665,100",Zipporah Films,"November 4, 2009",Documentary,2 hrs. 38 min.,Unrated,N/A,"$1,108,446",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Familia,N/A,N/A,"$3,800",Film Movement,"August 3, 2018",Drama,1 hrs. 22 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Forteresse suspendue,N/A,N/A,"$292,900",Equinox,"June 22, 2001",Unknown,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Grande Seduction,N/A,N/A,"$13,950,000",Odeon,"July 11, 2003",Foreign,1 hrs. 48 min.,Unrated,N/A,"$12,587,032",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La La Land,Damien Chazelle,N/A,"$154,483,300",Lionsgate/Summit,"December 9, 2016",Musical,2 hrs. 8 min.,PG-13,$30 million,"$446,092,357",Ryan Gosling,Emma Stone,Jessica Rothe,N/A,N/A,N/A,Marc Platt,N/A,N/A,N/A,N/A,N/A,Damien Chazelle,N/A,Justin Hurwitz,N/A
La Leon,N/A,N/A,"$2,100",Music Box Films,"October 10, 2008",Foreign,1 hrs. 25 min.,Unrated,N/A,"$27,315",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Ligne brisee,N/A,N/A,"$586,500",Alliance,"March 7, 2008",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Mentale: The Code,N/A,N/A,"$19,100",IDP,"February 13, 2004",Unknown,1 hrs. 56 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Moustache,N/A,N/A,"$337,500",Cinema Guild,"May 24, 2006",Foreign,1 hrs. 26 min.,Unrated,N/A,"$3,044,771",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Mujer de Mi Hermano,N/A,N/A,"$3,871,500",Lionsgate,"April 14, 2006",Foreign,1 hrs. 30 min.,R,N/A,"$8,492,178",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Navaja de Don Juan,N/A,N/A,"$4,400",Indican,"October 9, 2015",Comedy,1 hrs. 42 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Notte (2016 re-release),N/A,N/A,"$41,400",Rialto,"September 14, 2016",Drama,2 hrs. 2 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Petite Jerusalem,N/A,N/A,"$73,900",Kino,"January 27, 2006",Foreign,1 hrs. 34 min.,Unrated,N/A,"$431,623",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Petite Lili,N/A,N/A,"$49,600",First Run,"November 12, 2004",Foreign,1 hrs. 34 min.,Unrated,N/A,"$34,634",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Religieuse (2018 re-release),N/A,N/A,"$29,600",Rialto,"January 4, 2019",Drama,2 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Riviere aux Castors,N/A,N/A,"$453,900",Alliance,"February 22, 2008",Foreign,1 hrs. 17 min.,Unrated,N/A,"$1,591,097",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Rondine at Fenice,N/A,N/A,"$61,700",Emerging Pictures,"May 19, 2008",Concert,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Scorta,N/A,N/A,"$317,800",First Look,"May 6, 1994",Unknown,1 hrs. 32 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Soga,N/A,N/A,"$246,700",7-57 Releasing,"August 13, 2010",Foreign,1 hrs. 42 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Traviata at La Scala,N/A,N/A,"$245,900",Emerging Pictures,"February 15, 2008",Concert,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Vie Promise,N/A,N/A,"$58,200",Empire,"March 5, 2004",Foreign,1 hrs. 34 min.,Unrated,N/A,"$40,029",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Labyrinth (2018 Fathom Event),N/A,N/A,"$956,300",Fathom,"April 29, 2018",Fantasy,1 hrs. 41 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ladron Que Roba A Ladron,N/A,N/A,"$5,264,800",Lionsgate,"August 31, 2007",Foreign,1 hrs. 38 min.,PG-13,N/A,"$6,875,089",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lady and the Tramp (Re-issue) (1980),N/A,N/A,"$87,662,200",Buena Vista,"March 7, 1980",Animation,1 hrs. 16 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lady and the Tramp (re-issue) (1986),N/A,N/A,"$72,554,900",Buena Vista,"December 19, 1986",Animation,1 hrs. 16 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lady Vengeance ,N/A,N/A,"$291,800",Tartan,"April 28, 2006",Foreign,1 hrs. 52 min.,R,N/A,"$23,809,504",Kang-ho Song,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lagaan,N/A,N/A,"$1,333,400",Set Pictures,"June 15, 2001",Foreign,3 hrs. 40 min.,PG,N/A,"$909,043",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lagaan (re-issue),N/A,N/A,"$113,900",Sony Classics,"May 8, 2002",Foreign,3 hrs. 44 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lal Badshah,N/A,N/A,"$267,800",Eros,"March 5, 1999",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lamb (2016),N/A,N/A,"$15,100",The Orchard,"January 8, 2016",Drama,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lambert &amp; Stamp,N/A,N/A,"$193,800",Sony Classics,"April 3, 2015",Documentary,2 hrs. 0 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lara Croft Tomb Raider: The Cradle of Life,Jan DeBont,N/A,"$98,327,000",Paramount,"July 25, 2003",Action / Adventure,1 hrs. 50 min.,PG-13,$95 million,"$156,505,388",Angelina Jolie,Gerard Butler,Djimon Hounsou,N/A,N/A,N/A,Lawrence Gordon,Lloyd Levin,N/A,N/A,N/A,N/A,N/A,N/A,Alan Silvestri,N/A
"Larger than Life in 3D: Dave Matthews Band, Ben Harper and Gogol Bordello",N/A,N/A,"$291,900",Cinedigm Entertainment,"December 11, 2009",Musical,1 hrs. 25 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lassie (2006),N/A,N/A,"$899,100",IDP,"September 1, 2006",Family Adventure,1 hrs. 40 min.,PG,N/A,"$6,442,854",N/A,N/A,N/A,N/A,N/A,N/A,Eric Ellenbogen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Adrian Johnston,N/A
The Last - Naruto the Movie,N/A,N/A,"$583,200",Eleven Arts,"February 20, 2015",Animation,1 hrs. 52 min.,Unrated,N/A,"$524,451",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last 5 Years,Richard LaGravenese,N/A,"$161,700",Radius-TWC,"February 13, 2015",Musical,1 hrs. 34 min.,PG-13,N/A,N/A,Anna Kendrick,N/A,N/A,N/A,N/A,N/A,Richard LaGravenese,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Dance (2002),N/A,N/A,"$23,600",First Run,"July 12, 2002",Unknown,1 hrs. 24 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Flight of the Champion,N/A,N/A,"$3,000",High Top Releasing,"August 30, 2013",Animation,1 hrs. 28 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last House on the Left (2009),N/A,N/A,"$39,645,100",Universal,"March 13, 2009",Horror,1 hrs. 49 min.,R,N/A,"$45,286,228",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last Kiss (2006),N/A,N/A,"$16,012,500",Paramount (DreamWorks),"September 15, 2006",Romance,1 hrs. 44 min.,R,$20 million,"$15,852,401",Zach Braff,Casey Affleck,Rachel Bilson,Harold Ramis,Tom Wilkinson,N/A,Gary Lucchesi,Tom Rosenberg,N/A,N/A,N/A,N/A,Paul Haggis,N/A,N/A,N/A
The Last Man on the Moon,N/A,N/A,"$55,200",Gravitas Ventures,"February 26, 2016",Documentary,1 hrs. 39 min.,Unrated,N/A,"$52,482",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Married Couple in America,N/A,N/A,"$43,087,300",Universal,"February 8, 1980",Comedy,1 hrs. 43 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Night (1999),N/A,N/A,"$1,050,800",Lions Gate,"April 30, 1999",Unknown,1 hrs. 9 min.,R,N/A,N/A,Sarah Polley,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last Place on Earth,N/A,N/A,"$9,500",Panorama,"May 14, 2004",Unknown,6 hrs. 36 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last Waltz (re-issue),N/A,N/A,"$501,000",MGM,"April 5, 2002",Concert,1 hrs. 57 min.,PG,N/A,"$322,313",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last Wave (Re-issue),N/A,N/A,"$1,500",Cowboy,"November 30, 2001",Unknown,N/A,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Last Witch Hunter,N/A,N/A,"$28,405,700",Lionsgate/Summit,"October 23, 2015",Action Fantasy,1 hrs. 46 min.,PG-13,$90 million,"$146,936,910",Vin Diesel,Elijah Wood,Michael Caine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Last Year at Marienbad (re-issue),N/A,N/A,"$181,700",Rialto,"January 18, 2008",Foreign,1 hrs. 33 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Late Spring (2016 re-release),N/A,N/A,"$14,000",Janus Films,"March 4, 2016",Drama,1 hrs. 48 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laura Cadieux... La Suite,N/A,N/A,"$1,337,900",Alliance,"December 3, 1999",Foreign,1 hrs. 40 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Law (re-release),N/A,N/A,"$19,700",Oscilloscope Pictures,"June 23, 2010",Drama,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lawless Heart,N/A,N/A,"$494,300",First Look,"February 21, 2003",Unknown,1 hrs. 50 min.,R,N/A,"$330,067",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Adrian Johnston,N/A
