title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
2007 Academy Award Nominated Short Films,N/A,N/A,"$639,800",Magnolia,"February 15, 2008",Unknown,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2008 Oscar Shorts,N/A,N/A,"$780,300",Shorts International,"February 6, 2009",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010 Oscar Shorts,N/A,N/A,"$1,156,800",Shorts International,"February 19, 2010",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011 Oscar Shorts,N/A,N/A,"$1,553,300",Shorts International,"February 11, 2011",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012 Oscar Nominated Short Films,N/A,N/A,"$1,941,000",Shorts International,"February 10, 2012",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013 Oscar Nominated Short Films,N/A,N/A,"$2,436,400",Shorts International,"February 1, 2013",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014 Oscar Nominated Short Films,N/A,N/A,"$2,463,800",Shorts International,"January 31, 2014",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015 Oscar Nominated Short Films,N/A,N/A,"$2,683,000",Shorts International,"January 30, 2015",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2016 Obama's America,Dinesh D'Souza,John Sullivan,"$38,787,700",Rocky Mountain Pictures,"July 13, 2012",Documentary,1 hrs. 29 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gerald R. Molen,N/A,N/A,N/A,N/A,N/A,Dinesh D'Souza,John Sullivan,N/A,N/A
2016 Oscar Nominated Short Films,N/A,N/A,"$2,964,500",Shorts International,"January 29, 2016",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
