budget,action,adventure,fantasy,science fiction,comedy,crime,drama,mystery,thriller,romance,war,horror,animation,family,western,history,music,tv movie,documentary,foreign,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,228968,5.977,5,4,4,12,3,2015,2633527,95,Kidnapping Mr. Heineken,5.9,292,6.987300332120829
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,237756,6.681,4,2,5,10,4,2015,0,90,Kill Me Three Times,5.6,249,6.986193512614361
14000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,245168,7.543,3,1,5,16,10,2015,16002420,106,Suffragette,7.3,883,7.010234516864352
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,311291,7.24,5,1,2,04,8,2015,4250507,95,45 Years,6.5,401,6.992106609975986
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248574,9.817,1,1,4,30,4,2015,6075,96,Barely Lethal,5.6,562,6.969219935842265
15000000,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,225728,7.315,6,3,7,16,8,2015,12601706,113,Macbeth,6.5,808,6.984345939243646
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,326425,5.539,5,2,5,18,12,2015,16775,83,Extraction,4.5,162,6.983904300135125
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,342474,4.537,3,1,5,31,7,2015,0,94,Jenny's Wedding,5.5,237,6.985913539644173
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,277217,7.881,1,1,5,31,7,2015,0,112,Descendants,6.7,982,6.988661380956047
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,207936,4.934,3,1,6,18,4,2015,135026,105,Tumbledown,6.4,85,6.9979669124975095
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,250734,6.848,3,1,4,23,4,2015,30229977,119,Far from the Madding Crowd,6.9,550,6.997847358121331
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,249688,5.99,3,1,5,31,7,2015,3002884,106,The End of the Tour,7.1,307,7.001213103094006
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,322456,4.736,1,1,2,10,2,2015,0,48,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,6.3,43,6.998798067324203
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,302528,6.448,3,1,5,23,10,2015,1986615,94,Remember,7.5,284,7.00561619996836
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,334538,6.208,2,1,5,03,6,2016,9995,101,Into the Forest,5.8,320,6.9848341232227495
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,306947,6.684,1,1,3,05,8,2015,231737,100,The Invitation,6.5,936,6.981955582973473
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,328901,5.304,1,1,5,17,4,2015,0,90,The Benefactor,4.8,151,6.9867917776629165
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,382517,10.254,1,1,5,18,12,2015,0,85,Open Season: Scared Silly,5.4,121,6.9922933004259376
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,310133,7.365,4,1,5,07,8,2015,134552,86,Cop Car,5.8,432,6.979616231519346
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,237584,3.946,4,1,6,18,4,2015,0,93,Mojave,4.9,58,6.995139276877644
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288036,9.999,3,1,5,26,6,2015,3214116,100,Sleeping with Other People,6.3,492,6.986489879177781
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,331781,6.577,2,1,5,03,7,2015,8413144,128,Amy,7.6,671,7.015683066495267
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,253161,6.591,3,3,4,04,6,2015,0,118,Madame Bovary,5.6,185,6.989716100853682
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,312831,5.733,9,3,5,06,11,2015,0,97,The Hallow,5.3,303,6.979642730111054
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,316322,6.448,1,1,4,29,1,2015,0,74,Barbie in Princess Power,5.4,64,6.995914458984998
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,301846,7.159,1,1,4,01,10,2015,0,89,Howl,5,200,6.984126984126984
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,332340,5.489,2,2,5,29,5,2015,0,88,Man Up,6.6,521,6.991834175776812
3000000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,292431,1.786,5,2,1,06,7,2015,249083,134,Love,5.9,732,6.968708223224001
9600000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300693,7.111,2,2,5,16,10,2015,2541554,121,Truth,6.6,250,6.996039603960396
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,333381,8.38,3,1,7,31,5,2015,0,95,Return to Sender,5.2,235,6.983237566871408
15000000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,253414,4.915,4,1,4,22,10,2015,3020664,100,Rock the Kasbah,5.4,147,6.990646995665486
2240000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254172,6.698,3,2,4,01,10,2015,0,116,Fathers and Daughters,7.2,518,7.004059879300885
1000000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,320588,7.177,2,1,5,27,11,2015,14444999,95,"Hello, My Name Is Doris",6.4,245,6.9941770647653
8000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,283235,6.244,4,1,4,09,10,2014,1411927,112,99 Homes,6.8,364,6.9971297902539025
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,86835,7.641,2,1,7,08,2,2015,566006,118,Knight of Cups,5.6,330,6.981760757994473
4000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254905,4.58,1,1,3,03,6,2015,143101,97,Manglehorn,5.4,93,6.99407005937911
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,309242,7.818,3,1,6,04,7,2015,130541,108,Mississippi Grind,6,210,6.991669972233241
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,332502,5.866,1,1,4,29,10,2015,0,91,400 Days,4.3,271,6.971045862846742
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,286192,6.246,1,0,5,10,10,2014,0,7,Lava,7.4,593,7.009268159262298
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,284674,5.463,4,2,5,14,8,2015,0,94,Air,4.8,283,6.975374757742356
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360055,4.179,2,1,7,27,9,2015,0,88,Riot,5.8,61,6.9970791269302905
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,352179,3.931,2,1,2,15,9,2015,0,110,Septembers of Shiraz,5.7,42,6.997819662966217
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246127,5.401,4,5,4,02,4,2015,8034,118,Every Thing Will Be Fine,5.5,118,6.992953260609921
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,338676,6.039,5,4,5,07,8,2015,0,110,Extinction,5.6,296,6.983617963314358
3000000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,330982,4.175,4,3,5,22,7,2016,0,115,The Childhood of a Leader,6.2,89,6.997162102913627
8000000,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,232572,5.488,2,1,3,02,9,2015,35991087,104,A Walk in the Woods,5.9,376,6.983701134930643
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112454,6.92,4,2,4,13,11,2014,0,100,Clown,5.3,633,6.95801895993446
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,321528,6.628,2,1,2,14,4,2015,0,72,Batman vs. Robin,6.9,344,6.998642676767677
8000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,317744,8.335,5,1,3,06,5,2015,0,91,Careful What You Wish For,6.1,220,6.992149088025377
2000000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,167810,5.52,3,1,3,08,4,2015,45431,95,Lost River,5.8,338,6.983992422448496
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,319075,5.198,2,1,1,23,3,2015,0,132,Cobain: Montage of Heck,7.7,385,7.0106165058105185
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,316042,5.186,6,1,5,09,10,2015,0,120,Hyena Road,6.4,79,6.998109972486941
12000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300153,5.079,4,5,5,24,7,2015,0,112,Life,6,197,6.992181608921697
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,332704,4.653,4,2,6,25,7,2015,0,90,Backtrack,5.8,207,6.990145594477724
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278236,6.428,5,1,5,13,3,2015,0,111,X+Y,6.6,301,6.995241294810482
3000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276839,6.233,3,1,5,13,3,2015,0,98,Home Sweet Hell,5.2,253,6.981966499029818
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,363689,2.133,2,1,6,24,10,2015,0,90,The Unspoken,4.1,29,6.996639897718646
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,318256,6.385,2,1,5,29,5,2015,0,84,Hot Girls Wanted,6,293,6.988415767208319
